word	pos	pron	gw	freq	def	example
until	conjunction	/ənˈtɪl/	DIRECTIONS	B1	as far as	Go straight until you get to the four-way stop, then turn left.
until	conjunction	/ənˈtɪl/	not until	B1	not before a particular time or event	We won't start the meeting until Jeanne is here.
unwell	adjective [never before noun]	/ʌnˈwel/		B1	ill	to feel/look unwell
up	adverb	/ʌp/	go/walk, etc. up to sb/sth	B1	to walk directly toward someone or something until you are next to them	He came straight up to me and introduced himself.
up	adverb	/ʌp/	NOT IN BED	B1	not in bed	I stayed up all night finishing this report.
up	adverb	/ʌp/	be up to sb	B1	If an action or decision is up to someone, they are responsible for doing or making it.	I can't decide for you, Jack, it's up to you.|It's up to Sophie to decide whether she wants to enter the competition.
up	adverb	/ʌp/	be up to sth	B1	to be doing or planning something	What have you been up to?|They're up to something - I can tell.
up	preposition	/ʌp/	up to 10, 20, etc.	B1	any amount or number under 10, 20, etc.	We can invite up to 65 people.
up	preposition	/ʌp/	up to/until/till, etc.	B1	until a particular time	You can call me up until midnight.
up-to-date	adjective	/ˌʌp.təˈdeɪt/		B1	modern, recent, or containing the latest information	Visit our website for up-to-date information on movie times.|It is essential to have an up-to-date dictionary.|The Internet keeps us up to date.
update	verb [T]		ADD INFORMATION	B1	to add new information	The website has just been updated.|We'll update you on this news story throughout the day.
upload	verb [T]	/ˈʌp.loʊd/		B1	to send a computer program or a document electronically from your computer, using the Internet	All the files have been uploaded to the server.
upon	preposition	/əˈpɑn/	once upon a time	B1	used at the beginning of a story to mean a long time ago	Once upon a time there was a beautiful princess.
upper	adjective [always before noun]	/ˈʌp.ər/		B1	at a higher position or level than something else	the upper lip/body|The office building's upper floors were being repainted.
upstairs	adjective [always before noun]			B1	on or at a higher level of a building	an upstairs window
urgent	adjective	/ˈɜr.dʒənt/		B1	very important and needing you to take action immediately	an urgent message|He has to sign that paper - will you tell him it's urgent?|Many people are in urgent need of food and water.
urgently	adverb	/ˈɜr.dʒənt.li/		B1	in a way that is urgent	Help is urgently needed.
use	verb [T]		REDUCE	B1	to take an amount from a supply of something	Taking a shower uses less water than taking a bath.|These bulbs use a lot of electricity.
use	noun		PURPOSE	B1	a purpose for which something is used	A food processor has a variety of uses in the kitchen.|I'd have no use for a boat.|The land was no good for farming, but he found other uses for it.
use	noun		WORD	B1	one of the meanings of a word, or the way that a particular word is used	Can you list all the uses of the word "point"?
used	adjective	/juːst/	be used to sb/sth/doing sth	B1	to be familiar with something or someone	We're used to tourists here - we get thousands every year.|He's used to working long hours.|She was not used to speaking Cantonese.
used	adjective	/juːst/	get/become used to sb/sth/doing sth	B1	to become familiar with something or someone	You'll get used to Ted eventually.|Climbers soon become used to the thinner air at 15,000 feet.
used	adjective	/juːzd/		B1	not new and owned by someone else before you	We're looking for a good used car.|a store that sells used books
used to	modal verb	/ˈjuːst.tuː/	used to do/be sth	B1	If something used to happen or a situation used to exist, it happened regularly or in the past but it does not happen or exist now.	She used to live in Detroit.|He used to be a pilot.|You don't come and see me like you used to.|When we were younger, we didn't used to drink coffee.
useless	adjective	/ˈjuː.sləs/	NO HELP	B1	If something is useless, it does not work well or it has no effect.	This umbrella's useless - there's a big hole in it.|It's useless arguing with her.
user	noun [C]	/ˈjuː.zər/		B1	someone who uses a product, machine or service	drug users|More than a million people are daily users of the subway system.|When you log in, you will be asked for your user name and password.
usual	adjective	/ˈjuː.ʒu.əl/	NORMAL	B1	normal and happening most often	I went to bed at my usual time.|You'll find the box in its usual place.|There was more rain than usual this summer in the mountain areas.
valley	noun [C]	/ˈvæl.i/		B1	an area of low land between hills or mountains, often with a river running through it	the Nile Valley|the Ohio River valley|There was snow on the hilltops but not in the valley.
valuable	adjective	/ˈvæl.jə.bəl/	OBJECTS	B1	Valuable objects are worth a lot of money.	valuable paintings|These antiques are extremely valuable.
value	noun	/ˈvæl.juː/	MONEY	B1	how much money something could be sold for	The new road has affected the value of these houses.|She had already sold everything of value that she possessed.|Cars quickly go down in value.|The value of the dollar depends on the demand in the marketplace for dollars.
value	noun	/ˈvæl.juː/	(a) good value	B1	If something is good value or is a good value, it is of good quality or you think the amount of money you spent on it was right.	This car is a very good value for the money.|Many wines from Austria and South Africa also provide good value.
value	noun	/ˈvæl.juː/	IMPORTANCE	B1	how useful or important something is	The documents are of great historical value.|The necklace had a lot of sentimental value.
van	noun [C]	/væn/		B1	a vehicle that is used for carrying things but that is smaller than a truck	a delivery van|a van driver
variety	noun	/vəˈrɑɪ.ət̬.i/	BEING DIFFERENT	B1	the quality of often changing or of being made of many different things	Factory work often lacks variety.|I think you need a bit more variety in your diet.
vase	noun [C]	/veɪs/		B1	a container that you put flowers in	a glass vase|a vase of flowers
vegetarian	noun [C]	/ˌvedʒ.əˈter.iː.ən/		B1	someone who does not eat meat or fish	We feel a lot better since we became vegetarians.
vegetarian	adjective	/ˌvedʒ.əˈter.iː.ən/		B1	not eating, containing, or using meat or fish	All her children are vegetarian.|vegetarian cooking/food|a vegetarian dish/meal|He decided in college to go vegetarian.
vehicle	noun [C]	/ˈviː.ə.kəl/		B1	something such as a car or bus that takes people from one place to another, especially using roads	The driver lost control of the vehicle and hit a tree.
vet	noun [C]	/vet/		B1	someone whose job is to give medical care to animals that are ill or hurt	Helen is training to become a vet.
via	preposition	/ˈvɑɪ.ə/	JOURNEY	B1	going through or stopping at a place on the way to another place	The train to Philadelphia goes via Baltimore.
via	preposition	/ˈvɑɪ.ə/	USING	B1	using a particular machine, system or person to send or recieve something	Reports are coming in via satellite.|I'll send the details via e-mail.
video clip	noun [C]	/ˈvɪd.iː.oʊˌklɪp/		B1	a short video recording that you can see on a website	The website has several video clips of celebrity interviews.
view	noun	/vjuː/	OPINION	B1	your opinion	We have different views about/on education.|In my view, her criticisms were justified.|I take the view that everyone should be free to decide for themselves.|It's my view that everyone should have the right to choose.|We had a friendly exchange of views.
virus	noun [C]	/ˈvɑɪ.rəs/	COMPUTER PROBLEM	B1	a program that is secretly put onto a computer in order to destroy the information that is stored on it	My computer has been acting strangely, and I suspect it's a virus.
visa	noun [C]	/ˈviː.zə/		B1	an official mark in your passport that allows you to enter or leave a particular country	We traveled to Argentina on a tourist visa.
visit	noun [C]	/ˈvɪz.ɪt/		B1	when you visit a place or a person	the President's visit to Argentina|I think I'll pay a visit to the hairdresser's while I'm in town.|We had a visit from the building inspector last week.
voice	noun	/vɔɪs/	SOUNDS	B1	the sounds that are made when people speak or sing	She has a very loud/quiet/soft voice.|a clear/deep voice|a high/low voice|You could tell from her voice that she wasn't happy.|She lowered her voice to a whisper.|You'll have to raise your voice if you want to be heard in here.|Could you please keep your voices down?
volume	noun	/ˈvɑl.jəm/	SOUND	B1	the level of sound produced by a television, radio, etc.	Could you turn the volume up/down, please.
vote	verb [I or T]	/voʊt/		B1	to show your choice or opinion in an election or meeting by doing something such as writing a mark on an official piece of paper, using a special machine to record your choice, or putting your hand up	Who did you vote for?|The union voted against going on strike.|The city council has voted to reject the development plan.|She was too young to vote in the national election.|The committee voted on the proposal and accepted it.
vote	noun	/voʊt/	SHOW CHOICE	B1	when someone shows their choice or opinion in an election or meeting by doing something such as writing a mark on an official piece of paper, using a special machine to record their choice, or putting their hand up	He lost the election by twenty votes.|The motion was approved, with 25 votes in favor and 7 against.|She cast her vote for the Democratic Party candidate.
vowel	noun [C]	/ˈvɑʊ.əl/		B1	a speech sound that you make with your lips and teeth open, shown in English by the letters a, e, i, o, or u	A short vowel is a short sound as in the word "cup."|A long vowel is a long sound as in the word "shoe."
wage	noun [no plural]	/weɪdʒ/		B1	the amount of money a person regularly receives for a job, usually when paid for the number of hours worked	The factory pays low/high/fair/decent wages.|The average wage is $8.50 an hour.|the minimum wage|a laborer's hourly/daily/weekly wage
wait	verb [I]	/weɪt/	keep sb waiting	B1	to be late so that someone has to wait for you	I'm sorry to have kept you waiting.|The dentist kept me waiting for a long time.
wait	verb [I]	/weɪt/	wait (a minute)	B1	said in order to interrupt someone, or to get their attention or when you have suddenly thought of something important	Now, wait a minute - I don't agree with that.|Wait - I just had an idea.
walk	verb [I or T]	/wɔːk/	walk sb home/to sth	B1	to walk with someone in order to guide them or keep them safe	He walked me to my house.
walk	verb [I or T]	/wɔːk/	walk the dog	B1	to walk with a dog to give the dog exercise	I walk the dog twice a day.
warm	adjective	/wɔːrm/	FRIENDLY	B1	friendly and loving	They're a very warm family.|He has a nice, warm smile.|I'd like to give a warm welcome to our guests this evening.
warn	verb [T]	/wɔːrn/		B1	to make someone realize a possible danger or problem, especially one in the future	We were warned not to eat the fish.|Have you warned them (that) there will be an extra person for dinner?|I was warned against/off going to the east coast because it was so full of tourists.|This particular curry is extremely hot - be warned!|Put that ball down and come over here, Laura - I'm warning you!
warning	noun [C or U]	/ˈwɔːr.nɪŋ/		B1	something that tells or shows you that something bad may happen	There's a health warning on every pack of cigarettes.|A bad storm can strike without warning.|Just a word of warning - restaurants in this area can be very expensive.|The Food and Drug Administration issued a warning to doctors about the dangers of the drug.
waste	noun	/weɪst/	BAD USE	B1	an unnecessary or wrong use of money, substances, time, energy, abilities, etc.	That meeting achieved absolutely nothing - it was a complete waste of time.|She's been unemployed for two years and it's such a waste of her talents.|This food mixer's been a total waste of money - we never use it.
waste	adjective	/weɪst/		B1	Waste material is no longer needed and can be gotten rid of.	The Japanese recycle more than half of their waste paper.
waste	verb [T]	/weɪst/	USE TOO MUCH	B1	to use too much of something or use something badly when there is a limited amount of it	You waste a lot of water by taking a bath instead of a shower.|Come on, let's get started - we've wasted enough time already.|Don't waste your money on designer jeans.
waterfall	noun [C]	/ˈwɔːt̬.ərˌfɔːl/		B1	water, especially from a river or stream, dropping from a higher to a lower point, sometimes from a great height	
wave	verb [I or T]	/weɪv/		B1	to raise your hand and move it from side to side in order to attract someone's attention or to say goodbye	I waved to/at him, and he waved back.|She was so mad she wouldn't even wave goodbye to us.|She waves her hands around a lot when she's talking.
wave	noun [C]	/weɪv/	WATER	B1	a line of higher water that moves across the surface of an area of water, especially the ocean	At night, I listened to the sound of the waves breaking/crashing against the shore.
way	noun	/weɪ/	DIRECTION	B1	the direction in which something is facing or travels	"Which way does the room face?" "North."|This bus is going the wrong way.|a one-way street|Which way up should this box be?|The numbers are the wrong way around - it should be 71, not 17.
way	noun	/weɪ/	DISTANCE	B1	a distance or a period of time	We walked a long way yesterday.|Thanksgiving seems like it's a long way away/off.
way	noun	/weɪ/	no way	B1	used to tell someone that something is impossible	I'm sorry, but there's no way we can help you.|No way will she agree to you leaving early.
way	noun	/weɪ/	a/sb's way of life	B1	the manner in which a person lives	Sleeping in hotels three or four nights a week is not an ideal way of life.
way	noun	/weɪ/	either way	B1	used to talk about two possibilities where the result will be the same	You can get there by train or bus - either way it'll take an hour.|He might have to resign or he might be given a desk job, but either way, his career is effectively over.
we	pronoun	/wiː/	ALL PEOPLE	B1	used to refer to people generally	The world in which we live today is very different.
weak	adjective	/wiːk/	BODY	B1	not physically strong	He was feeling weak after his cancer treatment.
weak	adjective	/wiːk/	NOT GOOD	B1	not good at something	She reads well, but her spelling is weak.
wear	verb [T]	/wer/		B1	to use something so much that it is damaged and cannot be used any more, or to become damaged in this way	He's already worn out two pairs of shoes this year.
weather forecast	noun [C]	/ˈweð.ərˌfɔːr.kæst/		B1	a description of what the weather will be like	Have you heard the weather forecast for tomorrow?
web	noun [C]	/web/	SPIDER	B1	a type of net made by a spider to catch insects	a spider's web
webcam	noun [C]	/ˈweb.kæm/		B1	a camera that records moving pictures and sounds and allows these to be shown on the Internet as they happen	I see my grandchildren via the webcam.
wedding	noun [C]	/ˈwed.ɪŋ/		B1	a marriage ceremony and any celebrations such as a meal or a party that follow it	a wedding cake/dress/invitation/present/reception|Do you know the date of Cathy and Matthew's wedding?|It was their twenty-fifth wedding anniversary last week.
weigh	verb [T]	/weɪ/	HEAVINESS	B1	to have a heaviness of a stated amount, or to measure the heaviness of an object	How much do you weigh?|His backpack must weigh more than 20 pounds.|She weighs herself every week on the bathroom scale.|Your luggage must be weighed before it is put on the aircraft.
weight	noun	/weɪt/	AMOUNT	B1	the amount that something or someone weighs	He's about average height and weight.|I need to lose a little weight.|Doug has gained a lot of weight recently.
welcome	verb [T]	/ˈwel.kəm/	MEET	B1	to greet someone who has arrived in a place	Both families were there to welcome us.|The visitors to the college were warmly welcomed by the Dean.
welcome	adjective	/ˈwel.kəm/	PLEASED	B1	If you are welcome, people are pleased that you are there.	You will always be welcome here.|She makes us (feel) welcome whenever we visit her.
welcome	adjective	/ˈwel.kəm/	be welcome to do sth	B1	used to tell someone that they can certainly do something, if they want to	Anyone who is interested is welcome to come along.
welcome	noun [C or U]	/ˈwel.kəm/	FRIENDLY TREATMENT	B1	when someone is met and spoken to in a friendly way when they arrive in a place	They were given a warm welcome.|She referred to his previous visit in her welcome speech.
well	adjective	/wel/	all is well	B1	everything is in a good or acceptable state	I hope all is well with Jack.
well	exclamation	/wel/	Oh well	B1	used to say that a situation cannot be changed although it might be disappointing	Oh well, it doesn't matter; I can always buy another one.
well-dressed	adjective	/ˌwelˈdrest/		B1	wearing attractive, good-quality clothes	She is a very well-dressed woman.
western	adjective	/ˈwes.tərn/	DIRECTION	B1	in or from the west part of an area	western Europe|California and other western states
western	adjective	/ˈwes.tərn/	COUNTRIES	B1	relating to countries in the west part of the world, especially North America and countries in the west of Europe	western opinion/culture|a Western-educated engineer|western medicine
wet	adjective	/wet/	NOT DRY YET	B1	describes paint, ink, or a similar substance when it has not had time to dry and become hard	The paint's still wet.|a sign saying 'Wet paint!'
whale	noun [C]	/weɪl/		B1	a very large sea mammal that breathes air through a hole at the top of its head	
what	pronoun	/wʌt/	THE THING	B1	used to refer to something without naming it	Do you know what I mean?|She wouldn't tell me what he said.|What I like most about her is her honesty.|The letter showed clearly what they were planning.|I can't decide what to do next.|Have you thought about what to send as a present?
what	pronoun	/wʌt/	What about ...?	B1	used to ask for someone's opinion on a particular subject	What about Ava - is she nice?
what	pronoun	/wʌt/	What if ...?	B1	used to ask about something that could happen in the future, especially something bad	What if the train's late?|What if you don't pass your test?
what	pronoun	/wʌt/	What's up?	B1	used to ask how things are with someone	What's up? Nice to see you again.
what	determiner	/wʌt/	STRONG OPINION	B1	used to give your opinion, especially when you have strong feelings about something	What nonsense!|What a mess!|What an awful day!
whatever	pronoun	/wʌt̬ˈev.ər/	ANYTHING	B1	anything or everything	The children are allowed to do whatever they want.|I eat whatever I want and I still don't seem to gain weight.|Whatever I say I always seem to get it wrong.
wheelchair	noun [C]	/ˈwiːl.tʃer/		B1	a chair with wheels used by someone who cannot walk	My brother uses a wheelchair.
whenever	conjunction	/wenˈev.ər/	EVERY TIME	B1	every time or any time	Whenever I go there they seem to be out.
wherever	conjunction	/werˈev.ər/	EVERY PLACE	B1	in or to any or every place	You can sit wherever you like.|Wherever you choose to live there are always going to be disadvantages.
whether	conjunction	/ˈweð.ər/	IF	B1	used especially in reporting questions and when expressing doubt to mean if	I wasn't sure whether you'd like it.|She asked me whether I was interested in working for her.|I doubt whether it'll work.|It all depends on whether or not she has the time.
whether	conjunction	/ˈweð.ər/	whether... or	B1	used to talk about a choice between two or more possibilities	I'm going, whether she likes it or not.|Someone has to tell her, whether it's you or me.|Let's face it - you're going to be late whether you go by bus or train.
which	pronoun	/wɪtʃ/	ADDING INFORMATION	B1	used to give extra information about something	The book, which includes a map, gives you all the information you need about Budapest.
while	conjunction	/wɑɪl/	COMPARING	B1	used to compare two different facts or situations	He earns seventy thousand dollars a year while I earn only forty!|Tom is very confident while Katy is shy and quiet.
while	noun	/wɑɪl/	a while	B1	a length of time	I only stayed for a short while.|You were there a while, weren't you?|"When did that happen?" "Oh, it was a while ago".|After a while, Roberto came back inside.|I haven't seen him for a while.|I'll be fine in a while.
while	noun	/wɑɪl/	quite a while	B1	a long time	I hadn’t seen Rebecca in quite a while.|It took quite a while to clean out the garage.
white	adjective	/wɑɪt/	PERSON	B1	Someone who is white has skin that is pale in color.	He had a black mother and a white father.|He's described as a white man in his early thirties.
who	pronoun	/huː/	ADDING INFORMATION	B1	used to give more information about someone	My brother, who's 17, has passed his driving test.
whole	noun	/hoʊl/	on the whole	B1	generally	We've had a few problems, but on the whole we're very happy.
whose	determiner	/huːz/	ASKING WHO	B1	used to ask who something belongs to or who someone or something is connected to	Whose bag is this?|Whose car should we take?
whose	determiner	/huːz/	MORE INFORMATION	B1	used for adding information about a person or thing just mentioned	We see patients whose families are unable to care for them.|It was an old house, whose basement had been flooded.
whose	pronoun	/huːz/		B1	used to ask who something belongs to or who someone or something is connected to	Whose is this bag?|Whose is that book?
why	adverb	/wɑɪ/	TALK ABOUT REASON	B1	used to talk about the reason for something	I don't know why she isn't here.|Exactly why he died is a mystery.|There is no reason why we shouldn't succeed.
why	adverb	/wɑɪ/	why not?	B1	used to agree with something that someone has suggested	"Let's get some ice cream." "Sure, why not?"
wide	adjective	/wɑɪd/	5 miles/10 feet, etc. wide	B1	having a distance of 5 miles/10 feet, etc. from one side to the other	The swimming pool is 20 feet wide.
wide	adjective	/wɑɪd/	a wide range/selection/variety, etc.	B1	a lot of different types of thing	The library has a wide range of information.|They sell a wide selection of chocolates.
wildlife	noun [U]	/ˈwɑɪld.lɑɪf/		B1	animals and plants that grow independently of people in their natural environment	a documentary on Peruvian wildlife|wildlife groups/conservation
willing	adjective	/ˈwɪl.ɪŋ/	be willing (to do sth)	B1	to be happy to do something if it is needed	If you're willing to fly at night, you can get a much cheaper ticket.|You said you needed a volunteer - well, I'm willing.|Apparently John and Gabriel are willing for us to use their yard.
win	verb	/wɪn/	ELECTION	B1	to get the most votes in an election	Who do you think will win the election?
window	noun [C]	/ˈwɪn.doʊ/	COMPUTER	B1	a separate area on a computer screen that shows information and that you can move around	to minimize/maximize a window
windshield	noun [C]	/ˈwɪnd.ʃiːld/		B1	the window at the front end of a car, bus, etc.	A rock cracked my windshield as I was driving home.
windsurfing	noun [U]	/ˈwɪndˌsɜr.fɪŋ/		B1	a sport in which you sail across water by standing on a board and holding onto a large sail	The channel is a popular area for windsurfing.
wing	noun [C]	/wɪŋ/	CREATURE	B1	one of the body parts that a bird or insect uses to fly	The eagle took off, flapping its wings to gain height.
wish	verb	/wɪʃ/	wish (that)	B1	to want a situation that is different from the one that exists	I wish that I was/were a bit taller.|I wish I didn't have to go to work today.|I wish he would leave.|I wish I had been there.
wish	verb	/wɪʃ/	wish sb luck	B1	to say that you hope someone will be lucky, successful, etc.	I wished him luck on his test.|I'm running in the relay - wish me luck!
with	preposition	/wɪð/	WHAT	B1	used to say what fills, covers, etc. something	a bucket filled with water|She filled the pitcher with cream.
with	preposition	/wɪð/	HOW	B1	used to describe the way someone does something	He plays with great skill.
within	preposition	/wɪðˈɪn/	TIME	B1	before a particular period of time has finished	The ambulance arrived within 10 minutes.|This product should be eaten within three days.
within	preposition	/wɪðˈɪn/	DISTANCE	B1	less than a particular distance from something	Two-thirds of Californians live within 15 miles of the coast.|The hotel is within easy reach of the airport.
without	preposition	/wɪðˈɑʊt/	without delay	B1	immediately	This problem needs to be dealt with without delay.
wonder	verb [I or T]	/ˈwʌn.dər/	QUESTION	B1	to ask yourself questions or express a wish to know about something	Shouldn't you call home? Your parents will be wondering where you are.|He's starting to wonder whether he did the right thing in accepting this job.|Will this turkey be big enough for eight, I wonder?|"Have you decided where you're going next summer?" "I've been wondering about going to Florida."
wonder	verb [I or T]	/ˈwʌn.dər/	POLITE REQUEST	B1	used in phrases, at the beginning of a request, to make it more formal and polite	I wonder - could you help me carry these books?|I wonder whether you could pass me the butter?|I was wondering if you could give me some information about places to visit in the area?
word	noun	/wɜrd/	not believe/understand/hear/say, etc. a word	B1	to not believe/understand/hear/say, etc. anything	I don't believe a word he says.
work	noun	/wɜrk/	EFFORT	B1	when you use physical or mental effort to do something	Carrying heavy loads around all day is hard work.|I can certainly do a report for you but it will be a lot of work.
work	verb	/wɜrk/	SUCCEED	B1	If something works, it is effective or successful.	Her plan to increase sales worked.|The pills will start to work in a few minutes.
work	verb	/wɜrk/	EXERCISE	B1	to exercise in order to improve the strength or appearance of your body	Heidi works out in the gym two or three times a week.
worker	noun [C]	/ˈwɜr.kər/	a quick/slow/good, etc. worker	B1	someone who works quickly/slowly/well, etc.	He's kind of a slow worker, but he is very thorough.
working	adjective [always before noun]	/ˈwɜr.kɪŋ/	JOB	B1	relating to your job	working hours|Working conditions in the mill have hardly changed over the last twenty years.|She has a difficult working relationship with many of her staff.
workout	noun [C]	/ˈwɜr.kɑʊt/		B1	a period of physical exercise	a light workout
world	noun	/wɜrld/	GROUP	B1	the people and things that are involved in a particular activity or subject	the entertainment world|the world of politics
worry	noun	/ˈwɜr.i/	PROBLEM	B1	a problem that makes you feel anxious	health/financial worries|Keeping warm in the winter is a major worry for many old people.
worse	adjective	/wɜrs/	get worse	B1	to become more ill, unpleasant, difficult, severe, etc. than before	My cold seems to be getting worse.|If the rain gets any worse, we'll have to stop walking.
worse	adverb	/wɜrs/	COMPARATIVE	B1	comparative of badly	He did worse than he was expecting to on his driving test.|He was treated much worse than I was.
worst	noun [no plural]	/wɜːrst/	MOST UNPLEASANT/DIFFICULT	B1	the most unpleasant or difficult thing, person, or situation	That was the worst I've seen him play in several years.
worth	adjective	/wɜrθ/	be worth	B1	to have a particular value in money	Our house is worth about $400,000.
worth	adjective	/wɜrθ/	be worth sth/doing sth	B1	to be important or interesting enough to receive a particular action or to cause you to do something	When you're in Reykjavik, the National Museum is worth a visit.|His latest book is definitely worth reading.
worth	adjective	/wɜrθ/	be worth it	B1	to be useful or enjoyable despite needing a lot of effort	It was a long climb to the top of the hill, but it was worth it for the view.|Don't tire yourself out, Geri, it's really not worth it.|Forget him, honey - he's just not worth it.
would	modal verb	/wʊd/	IF	B1	used to say what might happen if something else happens	What would you do if you lost your job?|They knew there would be trouble unless the report was finished by the next day.
would	modal verb	/wʊd/	SAID/THOUGHT	B1	used as the past form of 'will' to talk about what someone said or thought	Archie said he would see his brother tomorrow.|They thought that she would never recover.
would	modal verb	/wʊd/	WILLING/ABLE	B1	used as the past form of 'will' to talk about what someone was willing to do or what something was able to do	The car wouldn't start this morning.|I asked her to talk to him, but she wouldn't.
would	modal verb	/wʊd/	IMAGINE	B1	used to talk about a situation that you can imagine happening	It would be great to go to New York.
would	modal verb	/wʊd/	Would you mind ...?	B1	used to request something politely	Would you mind sharing a room?
would	modal verb	/wʊd/	would rather	B1	used to show that you prefer to have or do one thing more than another	I'd rather have a beer.|Which would you rather do - go swimming or play tennis?|Wouldn't you rather finish it tomorrow?
wrap	verb [T]	/ræp/	COVER	B1	to cover or surround something with paper, cloth or other material	She wrapped the present and tied it with ribbon.|Wrap the chicken in foil and cook it for two hours.
wrap	verb [T]	/ræp/		B1	to fold paper, cloth, etc. around something to cover it	Have you wrapped up Jenny's present?
write	verb [I or T]	/rɑɪt/	CREATE	B1	to create a book, story, article, etc. or a piece of music	He's writing a book on Colombia.|She writes for Time magazine.|Walton wrote the Cello Concerto in 1956.
write	phrasal verb	/rɑɪt/		B1	to write something on a piece of paper so that you do not forget it	Did you write Jo's phone number down?
writer	noun [C]	/ˈrɑɪt̬.ər/		B1	a person who writes books or articles to be published	a travel/sports/fiction/crime writer|She is a well-known writer of children's books.
writing	noun [U]	/ˈrɑɪt̬.ɪŋ/	STYLE	B1	the way that someone writes	Do you recognize the writing on the envelope?
written	adjective	/ˈrɪt.ən/		B1	expressed in writing, or involving writing	written instructions|a written exam
wrong	adjective	/rɑŋ/	get sth wrong	B1	to produce an answer or result that is not correct, or to say or write something that is not correct	I got most of the answers wrong.|The newspapers got the story completely wrong.
wrong	adjective	/rɑŋ/	PROBLEM	B1	If something is wrong, there is a problem.	You've been quiet all evening. Is there anything wrong?|What's wrong?|There's something wrong with my computer.
wrong	adverb	/rɑŋ/	go wrong	B1	to develop problems	Something's gone wrong with my computer.
yard	noun [C]	/jɑrd/	UNIT OF MEASUREMENT	B1	a unit of measurement equal to three feet or approximately 91.4 centimetres	The garden is about 100 yards long.
year	noun	/jɪr/	for years	B1	for a long time	Hannah and I have been friends for years.
yet	conjunction	/jet/		B1	used to connect two words, phrases, or clauses when the second part adds something surprising to the first part	a simple yet effective exercise|I agree it's unlikely, yet she knows what she's talking about.
yoga	noun [U]	/ˈjoʊ.gə/		B1	a set of exercises for the mind and body, based on the Hindu religion	She does yoga three times a week.
your	determiner	/jʊr /	PEOPLE GENERALLY	B1	belonging or relating to people generally	Of course you want the best for your children.|Garlic is good for your blood.
yours	pronoun	/jʊrz/	Yours sincerely	B1	used at the end of formal letters when you know the name of the person you are writing to	Yours sincerely, Maya Johnson
youth	noun	/juːθ/	YOUNG PEOPLE	B1	young people generally	the youth of today|a youth club
zero	number	/ˈzɪr.oʊ/	TEMPERATURE	B1	the temperature that is 32 degrees lower than the temperature at which water freezes in degrees Fahrenheit, or the temperature at which water freezes in degrees centigrade	In the winter, the temperature can drop to 15 degrees below zero.
zone	noun [C]	/zoʊn/		B1	an area where a particular thing happens, that is used for a particular purpose, or where there are particular rules	an earthquake zone|a nuclear-free zone|He was charged with driving 75 mph in a 55 mph zone.|The UN Security Council has established a no-fly zone.
Google	verb [T]	/ˈguː.gəl/		B2	to search for something on the Internet using the Google search engine	We Googled his name and found over 2000 sites.
X-ray	noun [C]	/ˈeks.reɪ/		B2	a photograph that shows the inside of your body	They took an X-ray of his leg.
abandon	verb [T]	/əˈbæn.dən/	LEAVE	B2	to leave someone or something somewhere, sometimes not returning to get them	They were forced to abandon the car.|My sister abandoned me at the station, so I went home alone.|We were sinking fast, and the captain gave the order to abandon ship.
abandoned	adjective	/əˈbæn.dənd/	EMPTY	B2	left empty or not working	an abandoned house/building/mine
abandoned	adjective	/əˈbæn.dənd/	LEFT SOMEWHERE	B2	having been left somewhere, intentionally	An abandoned baby was left at the hospital.
abolish	verb [T]	/əˈbɑl.ɪʃ/		B2	to officially end something, especially a law or system	I think bullfighting should be abolished.|National Service was abolished in Britain in 1962.
about	adjective	/əˈbɑʊt/	be about to do sth	B2	to be going to do something very soon	I was about to leave when Mark arrived.
absence	noun	/ˈæb.səns/	NOT PRESENT	B2	when someone is not where they are usually expected to be	A new manager was appointed during/in her absence.|She has had repeated absences from school this year.
absence	noun	/ˈæb.səns/	NOT EXISTING	B2	when something does not exist	He drew attention to the absence of concrete evidence against the defendant.
absolute	adjective [always before noun]	/ˈæb.səˌluːt/		B2	complete and definite	absolute power/control|That's absolute nonsense!|Repairing the heating system is an absolute necessity!
absolutely	adverb	/ˈæb.səˌluːt.li/	Absolutely!	B2	used to strongly agree with someone	"Do you think it helped his career?" "Absolutely."|"It was an excellent movie, though." "Absolutely!"
absorb	verb [T]	/əbˈzɔːrb/	TAKE IN	B2	to take something in, especially gradually	Plants absorb carbon dioxide.|The drug is quickly absorbed into the bloodstream.
absorb	verb [T]	/əbˈzɔːrb/	be absorbed in sth	B2	to give all your attention to something that you are doing	Simon was so absorbed in his computer game that he didn't notice me come in.
abstract	adjective	/ˈæb.strækt/	IDEAS	B2	relating to ideas and not real things	abstract ideas|Truth and beauty are abstract concepts.
abstract	adjective	/ˈæb.strækt/	ART	B2	Abstract art involves shapes and colors and not images of real things or people.	abstract paintings/sculpture
absurd	adjective	/əbˈsɜrd/		B2	very silly	What an absurd explanation!|Don't be so absurd! Of course I want you to come.|It's an absurd situation - neither of them will talk to the other.
abuse	noun	/əˈbjuːs/	BAD TREATMENT	B2	bad or cruel treatment of people or animals	sexual/psychological/mental abuse|The rescued dogs had been victims of physical abuse.
abuse	noun	/əˈbjuːs/	WRONG USE	B2	the use of a substance in an unsuitable and harmful way or for the wrong purpose	Drug and alcohol abuse contributed to his early death.|This program tries to address problems that lead to substance abuse.
